author_sort,authors,#country,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,#read,#read_progress,#ebook,series,series_index,size,#status,tags,title,title_sort,uuid
"Stross, Charles","Charles Stross","","/path/to/cover.jpg","2019-04-11T13:02:03+01:00","epub","9780441014156","6","amazon:0441014151,isbn:9780441014156,google:F3i9DAEACAAJ","eng","Calibre Library","2005-06-26T00:00:00+01:00","Ace Books","5","","0%","","","1.0","409538","OK","Fiction, Science Fiction","Accelerando","Accelerando","4ec36562-d8e8-4499-9c6c-d1e7ae2af42f"
"Zelazny, Roger","Roger Zelazny","","/path/to/cover.jpg","2020-06-17T18:49:53+01:00","epub","9780061936456","39","amazon:0061936456,isbn:9780061936456,google:V-A-l-a7qE0C","eng","Calibre Library","2010-04-13T01:00:00+01:00","HarperCollins","4","","0%","","","1.0","277135","","Fiction, Science Fiction","Creatures of Light and Darkness","Creatures of Light and Darkness","8578dcf0-cd1c-404c-beed-d71e89393cfd"
"Vance, Jack","Jack Vance","","/path/to/cover.jpg","2025-11-27T11:35:49+00:00","epub","9781619470019","1246","isbn-10:1619470012,google:DhyePBc9N0oC,isfdb-title:57658,isbn-13:9781619470019,isfdb:567348,isbn:9781619470019,goodreads:17566823","eng","Calibre Library","1985-01-01T00:00:00+00:00","Spatterlight Press","4","","0%","","","2.0","281071","","Collection, Fiction, Science Fiction","Magnus Ridolph","Magnus Ridolph","2643a8d6-7a9a-48cf-9b73-5cd761b5742d"
"Vance, Jack","Jack Vance","","/path/to/cover.jpg","2025-11-27T11:42:36+00:00","epub","9780887331596","1249","google:z7dUAAAACAAJ,fictiondb:the-five-gold-bands~jack-vance~104747,amazon:0879975180,goodreads:3209782,isbn:9780887331596","eng","Calibre Library","1949-12-31T23:00:00+00:00","DAW","4","","0%","","","1.0","513944","","Fiction, Science Fiction","The Five Gold Bands","Five Gold Bands, The","c6aa1d19-96d8-4869-b041-5b1b58869e32"
"Reynolds, Alastair","Alastair Reynolds","","/path/to/cover.jpg","2025-12-04T14:05:13+00:00","epub","9781596067684","1281","isfdb-title:99521,isbn:9781596067684,mobi-asin:B01FE7KJ2C,goodreads:30334284,isbn-10:1596067683,isbn-13:9781596067684,isfdb:578711","eng","Calibre Library","2016-06-30T01:00:00+01:00","Subterranean Press","4","True","0%","","","1.0","825763","","Science Fiction, Fiction","Beyond the Aquila Rift: The Best of Alastair Reynolds","Beyond the Aquila Rift: The Best of Alastair Reynolds","2f8b2a5e-4f69-4c70-ac7a-d60c786c91c0"
"Pullman, Philip","Philip Pullman","","/path/to/cover.jpg","2025-12-04T14:09:22+00:00","epub","9781407154206","1282","isbn:9781407154206","eng","Calibre Library","1994-12-15T00:00:00+00:00","Scholastic UK","","","0%","","Sally Lockhart","2.0","2906430","","Fiction, Mystery & Detective, Young Adult","The Shadow in the North","Shadow in the North, The","a222ce8f-1fdf-4b01-a8fb-292d298efddc"
"Pullman, Philip","Philip Pullman","","/path/to/cover.jpg","2025-12-04T14:10:40+00:00","epub","9781407154213","1283","isbn:9781407154213","eng","Calibre Library","2015-12-15T00:00:00+00:00","Scholastic UK","","","0%","","Sally Lockhart","3.0","3571640","","Fiction, Mystery & Detective, Young Adult","The Tiger in the Well","Tiger in the Well, The","8bfa4265-75de-420a-b60d-2d2f22ec9b63"
"Tolkien, J. R. R. & Tolkien, Christopher","J. R. R. Tolkien & Christopher Tolkien","","/path/to/cover.jpg","2026-01-02T21:47:07+00:00","epub","9780007348213","1303","isbn:9780007348213","eng","Calibre Library","2018-12-18T00:00:00+00:00","HarperCollins Publishers","","","0%","","The History of Middle-Earth","4.0","2017209","","Fantasy, Fiction, Lord of the Rings, Middle Earth (Imaginary place)","The Shaping of Middle-earth","Shaping of Middle-earth, The","601a54f8-8d2d-433a-9f11-8e9f6555d5ed"
"Tolkien, J. R. R. & Tolkien, Christopher","J. R. R. Tolkien & Christopher Tolkien","","/path/to/cover.jpg","2026-01-02T21:47:10+00:00","mobi","9780044407263","1304","isbn:9780044407263,mobi-asin:6e645e3a-fa21-4d11-9047-fafe3ae302f4","eng","Calibre Library","2018-08-06T17:00:00+01:00","Unwin Hyman","","","37%","","Bombadil","1.0","369076","","Fantasy, Fiction, Lord of the Rings, Middle Earth (Imaginary place)","The Adventures of Tom Bombadil, and Other Verses From the Red Book","Adventures of Tom Bombadil, and Other Verses From the Red Book, The","b8fbf2a5-dc38-4957-bafe-6d1a92deac7b"
"Tolkien, J. R. R. & Hostetter, Carl F.","J. R. R. Tolkien & Carl F. Hostetter","","/path/to/cover.jpg","2026-01-02T21:52:55+00:00","epub","","1306","","eng","Calibre Library","2022-12-13T00:00:00+00:00","HarperCollins","","","0%","","The History of Middle-Earth","14.0","15281418","","Fantasy, Fiction, Lord of the Rings, Middle Earth (Imaginary place)","The Nature Of Middle-Earth","Nature Of Middle-Earth, The","22c0f370-9ba8-4c28-8f45-f569659a83da"
